¾ÆÀÌµð,ÀÌ¸§,ºÎ½ºµµÂø½Ã°£,¸ÅÇ¥¼Ò¿ä½Ã°£,ÀÌµ¿¼Ò¿ä½Ã°£,Ãâ¹ß¿ª,µµÂø¿ª,ºÎ½º´ë±â½Ã°£,¿­Â÷´ë±â½Ã°£,¿­Â÷Ãâ¹ß½Ã°£,µµÂø½Ã°£
1,°í°´2001,0,2,16,Seoul,Chuncheon,0,1,3,19
3,°í°´2003,0,3,53,Wonju,Gwangju,1,2,6,59
2,°í°´2002,0,1,28,Chuncheon,Wonju,2,0,3,31
5,°í°´2005,0,1,45,Chuncheon,Deajeon,0,2,3,48
7,°í°´2007,1,1,44,Seoul,Gyeongju,2,2,6,50
4,°í°´2004,0,5,32,Gyeongju,Wonju,0,1,6,38
8,°í°´2008,1,2,49,Gwangju,Chuncheon,3,0,6,55
9,°í°´2009,3,1,29,Deajeon,Seoul,2,0,6,35
10,°í°´2010,3,3,25,Gwangju,Asan,3,0,9,34
11,°í°´2011,5,6,49,Chuncheon,Gwangju,1,0,12,61
12,°í°´2012,5,2,42,Asan,Wonju,4,1,12,54
6,°í°´2006,1,10,35,Asan,Deajeon,3,1,15,50
15,°í°´2015,7,1,22,Seoul,Wonju,7,0,15,37
13,°í°´2013,7,3,45,Chuncheon,Deajeon,5,0,15,60
14,°í°´2014,7,1,35,Asan,Deajeon,8,2,18,53
16,°í°´2016,7,2,15,Deajeon,Gyeongju,8,1,18,33
19,°í°´2019,10,1,29,Deajeon,Seoul,7,0,18,47
17,°í°´2017,7,8,44,Seoul,Gyeongju,4,2,21,65
18,°í°´2018,10,1,25,Asan,Gwangju,8,2,21,46
21,°í°´2021,13,1,29,Deajeon,Seoul,6,1,21,50
23,°í°´2023,15,1,43,Gyeongju,Asan,4,1,21,64
20,°í°´2020,10,5,43,Asan,Gyeongju,6,0,21,64
22,°í°´2022,15,3,22,Seoul,Wonju,5,1,24,46
27,°í°´2027,19,1,53,Wonju,Gwangju,2,2,24,77
24,°í°´2024,15,2,23,Wonju,Deajeon,5,2,24,47
28,°í°´2028,19,1,45,Deajeon,Chuncheon,3,1,24,69
25,°í°´2025,19,3,31,Chuncheon,Gyeongju,4,1,27,58
26,°í°´2026,19,3,43,Gyeongju,Asan,4,1,27,70
29,°í°´2029,19,7,16,Seoul,Chuncheon,3,1,30,46
31,°í°´2031,22,3,43,Asan,Gyeongju,4,1,30,73
30,°í°´2030,20,2,15,Deajeon,Gyeongju,6,2,30,45
32,°í°´2032,22,2,16,Chuncheon,Seoul,6,0,30,46
33,°í°´2033,25,1,35,Asan,Deajeon,4,0,30,65
34,°í°´2034,25,1,32,Wonju,Gyeongju,5,2,33,65
35,°í°´2035,25,2,41,Seoul,Gwangju,5,1,33,74
37,°í°´2037,25,3,35,Gwangju,Wonju,4,1,33,68
38,°í°´2038,28,1,45,Chuncheon,Deajeon,4,0,33,78
36,°í°´2036,25,2,36,Chuncheon,Asan,6,0,33,69
39,°í°´2039,29,4,23,Deajeon,Wonju,3,0,36,59
40,°í°´2040,30,1,20,Asan,Seoul,3,2,36,56
41,°í°´2041,35,2,16,Chuncheon,Seoul,0,2,39,55
43,°í°´2043,35,2,12,Deajeon,Gwangju,2,0,39,51
45,°í°´2045,35,3,42,Asan,Wonju,0,1,39,81
44,°í°´2044,35,2,22,Wonju,Seoul,1,1,39,61
46,°í°´2046,37,2,49,Chuncheon,Gwangju,1,2,42,91
47,°í°´2047,40,1,23,Deajeon,Wonju,0,1,42,65
48,°í°´2048,41,3,42,Wonju,Asan,0,1,45,87
49,°í°´2049,42,1,31,Chuncheon,Gyeongju,0,2,45,76
42,°í°´2042,35,9,32,Wonju,Gyeongju,3,1,48,80
50,°í°´2050,42,5,41,Seoul,Gwangju,1,0,48,89
